MoKa.LogP,MoKa.LogD7.4,MW,TPSA_NO,HBA,HBD,RotBondCount,anionic,cationic,neutral,zwitterionic
-1.1559608596535333,-1.5805456909411701,-1.4399310463916426,-0.05811425532908439,0.3333333333333333,0.2857142857142857,0.3076923076923077,1.0,0.0,0.0,0.0
0.8405535048637336,0.5319647703643673,-0.7372562124336546,-2.3666961539312066,0.06666666666666667,0.14285714285714285,0.23076923076923078,0.0,1.0,0.0,0.0
-0.22654900030928843,-0.0583480120624195,0.5381019225418644,0.23765305922321786,0.6666666666666666,0.14285714285714285,0.23076923076923078,0.0,1.0,0.0,0.0
0.42748156737740245,0.7699941181171039,1.413197683005146,0.8199118255517285,0.9333333333333333,0.42857142857142855,0.7692307692307693,0.0,0.0,1.0,0.0
-0.38833550915810144,0.12433951233780588,-1.1525617951813552,0.09152410990846703,0.4666666666666667,0.14285714285714285,0.38461538461538464,0.0,0.0,1.0,0.0
0.35863624446301406,0.5617184388334594,-0.9569082864718491,-1.206599899891596,0.2,0.14285714285714285,0.38461538461538464,0.0,1.0,0.0,0.0
0.014409629891071364,0.44270376495709113,-0.25998987471304846,-0.30091673305533684,0.3333333333333333,0.42857142857142855,0.3076923076923077,0.0,0.0,1.0,0.0
0.15210027571984844,0.5914721073025515,-0.870826190061847,-1.0022748256366247,0.2,0.14285714285714285,0.3076923076923077,0.0,0.0,1.0,0.0
-0.02001303156612285,-0.2922118462294832,-0.3809542985086869,0.09410703684161816,0.4,0.2857142857142857,0.15384615384615385,0.0,0.0,0.0,1.0
-1.8099914273402244,-0.8367039792138684,0.39472409608024966,0.6578786776874123,0.7333333333333333,0.2857142857142857,0.5384615384615385,1.0,0.0,0.0,0.0
0.8405535048637336,0.1778961155821716,0.47563948428459224,0.06803107274191117,0.5333333333333333,0.14285714285714285,0.7692307692307693,0.0,1.0,0.0,0.0
0.5995948746633738,-0.22972914244438988,1.1849375711501722,0.7975064265321429,0.8,0.7142857142857142,0.9230769230769231,0.0,1.0,0.0,0.0
0.9782441506925107,1.1865454766843928,-0.3312429323456308,-1.2595738712990592,0.26666666666666666,0.14285714285714285,0.07692307692307693,0.0,1.0,0.0,0.0
-0.3126056539522741,0.14219171341926112,0.9453092210570667,1.0210343160471675,0.9333333333333333,0.7142857142857142,0.5384615384615385,0.0,0.0,1.0,0.0
1.288048103807259,1.0377771343389326,-0.3389173337591789,-1.5850947543230525,0.13333333333333333,0.14285714285714285,0.5384615384615385,0.0,1.0,0.0,0.0
2.217459963151504,1.7816188460662346,0.8894971186924071,-0.22343051318279292,0.5333333333333333,0.0,0.46153846153846156,0.0,1.0,0.0,0.0
0.42748156737740245,0.829501455055288,1.4782305979524504,1.1348732055063404,1.0,0.5714285714285714,1.0,0.0,0.0,1.0,0.0
0.42748156737740245,-0.0050889455027446785,-0.2107853047843781,0.16431647930832896,0.4666666666666667,0.42857142857142855,0.38461538461538464,1.0,0.0,0.0,0.0
0.25536826009143115,-0.14046813703711364,0.05585366757075685,-0.07871957974445878,0.4666666666666667,0.2857142857142857,0.3076923076923077,0.0,0.0,0.0,1.0
0.28979092154862546,0.6807331127098276,0.11127588437013684,-0.17756371314155106,0.5333333333333333,0.0,0.3076923076923077,0.0,0.0,1.0,0.0
